OBJECTID,ID,SCODE2014,SNAME2014,Subcounty_2014,Urban_Status_2014,Municipality_Name,CONST_CODE,CONSTITUENCY,CCODE2014,CNAME2014,DCODE2014,DNAME2014,DNAME2016,Households_2014,Population_2014,Male_2014,Female_2014,Area_GIS_km2,Population_Density_2014,Attending_School_6_to_12yr_2014,Not_attending_School_6_to_12yr_2014,Never_been_to_School_15plus_2014,Attended_Primary_15plus_2014,Attended_Secondary_and_above_15plus_2014,Literate_18plus_2014,Not_Literate_18plus_2014,HH_Subsistence_Farming_2014,HH_non_Subsistence_Farming_2014,HH_own_Radio_2014,HH_own_Bicycle_2014,HH_own_Motorcycle_2014,HH_own_Moquito_Net_2014,HH_own_two_sets_Clothing_2014,HH_Salt_available_2014,HH_at_least_two_Meals_a_Day_2014,HH_Wall_temporary_2014,HH_Wall_permanent_2014,HH_Roof_temporary_2014,HH_Roof_permanent_2014,HH_Floor_temporary_2014,HH_Floor_permanent_2014,HH_Unprotected_Drinking_Water_2014,HH_Protected_Drinking_Water_2014,HH_Improved_Toilet_2014,HH_Unimproved_Toilet_2014,HH_No_Toilet_2014,HH_Lighting_Electricity_2014,HH_Lighting_Electricity_2014_percent,HH_Lighting_Paraffin_Lantern_2014,HH_Lighting_Paraffin_Tadooba_2014,HH_Lighting_Other_2014,Shape_Length,Shape_Area
164,634,407210,KYENZIGE,Kyenzige,,,82,BUYAGA EAST COUNTY,4072,BUYAGA,407,KIBAALE,KAGADI,3333,16163,7801,8362,62.92119319,256.8768833,3205,277,824,4956,1980,5155,1429,2602,731,2359,1053,597,3238,2994,3235,3228,2350,983,262,3071,2702,631,694,2639,585,2652,96,943,28.29282928,110,2051,229,38507.96787,62921791.26
165,647,407216,PAACWA,Paacwa,,,82,BUYAGA EAST COUNTY,4072,BUYAGA,407,KIBAALE,KAGADI,3292,16081,7911,8170,75.64804518,212.5765439,2980,456,1202,5203,1350,4698,1980,2961,331,2060,786,323,3188,3076,3215,3144,2353,939,459,2833,2976,316,880,2412,402,2745,145,568,17.25394897,66,1986,672,43341.71752,75645918.12
166,617,407201,BURORA,Burora,,,220,BUYAGA WEST COUNTY,4072,BUYAGA,407,KIBAALE,KAGADI,2650,13115,6353,6762,58.6389981,223.6566181,2368,513,1315,3735,997,3328,1899,2353,297,1789,786,301,2596,2274,2592,2556,1996,654,635,2015,2418,232,1393,1257,398,2181,71,441,16.64150943,61,1791,357,38075.57619,58639385.75
167,649,407218,RUTEETE,Ruteete,,,82,BUYAGA EAST COUNTY,4072,BUYAGA,407,KIBAALE,KAGADI,2519,11824,5789,6035,43.89627705,269.3622511,2199,339,1491,3220,1073,3227,1830,2281,238,1626,583,187,2443,2210,2374,2282,2056,463,475,2044,2196,323,693,1826,290,2189,40,343,13.61651449,154,1750,272,33957.9821,43896695.88
168,631,407208,KYANAISOKE,Kyanaisoke,,,82,BUYAGA EAST COUNTY,4072,BUYAGA,407,KIBAALE,KAGADI,3240,15321,7602,7719,63.32363458,241.9475777,2792,332,777,4952,1850,5073,1387,2699,541,2505,1063,616,3131,2792,3150,3124,2201,1039,272,2968,2583,657,1004,2236,395,2715,130,881,27.19135802,164,1902,293,41539.49871,63324295.68
169,623,407205,KAGADI TOWN COUNCIL,Kagadi  Town Council,Town Council,,82,BUYAGA EAST COUNTY,4072,BUYAGA,407,KIBAALE,KAGADI,5347,22894,10886,12008,49.18325287,465.4836486,4243,323,986,5836,5339,8965,1566,2616,2731,4050,1523,1029,5083,5206,5197,5028,1919,3428,229,5118,2505,2842,1334,4013,1249,4045,53,2104,39.34916776,510,2207,526,31847.5738,49183715.93
170,640,407213,MUHORRO,Muhorro,,,220,BUYAGA WEST COUNTY,4072,BUYAGA,407,KIBAALE,KAGADI,2957,14509,7061,7448,72.09343611,201.2527185,2828,351,1256,4351,1241,4064,1820,2743,214,1945,773,328,2880,2370,2787,2795,2379,578,358,2599,2713,244,1553,1404,240,2667,50,370,12.51268177,211,2157,219,59512.90975,72115191.66
171,641,407214,MUHORRO TOWN COUNCIL,Muhorro  Town Council,Town Council,,220,BUYAGA WEST COUNTY,4072,BUYAGA,407,KIBAALE,KAGADI,4705,22392,10826,11566,51.12397657,437.994098,4301,407,1143,6618,3359,7596,1924,3044,1661,3360,1026,700,4481,4374,4509,4460,2537,2168,245,4460,3079,1626,1137,3568,963,3628,114,1143,24.29330499,423,2671,468,45350.51547,51124929.48
172,646,407308,NYAMARWA,Nyamarwa,,,83,BUYANJA COUNTY,4073,BUYANJA,407,KIBAALE,KIBAALE,4484,20010,10131,9879,162.9103078,122.8283236,3544,708,1438,6478,1554,5762,2570,3938,546,2927,673,445,4306,4105,4368,4259,3698,786,1059,3425,4110,374,2928,1556,626,3670,188,347,7.738626227,200,3406,531,57062.32509,162915111.5
173,633,407304,KYEBANDO,Kyebando,,,83,BUYANJA COUNTY,4073,BUYANJA,407,KIBAALE,KIBAALE,5029,23375,11847,11528,194.5832057,120.1285585,4144,792,1773,7431,1971,6845,2978,4404,625,3607,1206,691,4861,4600,4890,4749,4015,1014,524,4505,4432,597,1658,3371,542,4232,255,681,13.54145953,317,2888,1143,77746.73488,194584929.2
174,627,407106,KASIITA,Kasiita,,,83,BUYANJA COUNTY,4071,BUGANGAIZI,407,KIBAALE,KIBAALE,12334,58507,29189,29318,23.84208491,2453.938077,10827,1550,5402,17865,4977,16588,8143,10675,1659,8386,4682,1417,11632,11313,12019,11591,8006,4328,2432,9902,9742,2592,2015,10319,1956,10118,260,1897,15.38024972,888,7100,2449,23951.03986,23841523.25
175,618,407302,BWAMIRAMIRA,Bwamiramira,,,83,BUYANJA COUNTY,4073,BUYANJA,407,KIBAALE,KIBAALE,3831,18180,9143,9037,166.6941911,109.0619888,3529,387,996,5546,2118,5776,1733,3300,531,2786,957,650,3713,3483,3742,3646,2909,922,407,3424,3399,432,1447,2384,405,3206,220,516,13.46906813,75,2790,450,100228.0876,166698286.2
176,616,407301,BUBANGO,Bubango,,,83,BUYANJA COUNTY,4073,BUYANJA,407,KIBAALE,KIBAALE,3701,18153,9208,8945,182.2712315,99.59333599,3424,580,1443,5569,1116,5033,2083,3374,327,2175,532,398,3539,3313,3638,3477,3372,329,692,3009,3563,138,2595,1106,423,3084,194,427,11.53742232,170,2376,728,73489.27394,182272068.9
177,639,407306,MUGARAMA,Mugarama,,,83,BUYANJA COUNTY,4073,BUYANJA,407,KIBAALE,KIBAALE,2693,11878,6001,5877,90.88840685,130.6877347,2127,397,822,3963,1046,3641,1409,2362,331,1898,592,391,2587,2401,2657,2570,2179,514,477,2216,2521,172,1162,1531,205,2108,380,335,12.43965837,64,1762,532,53633.84264,90889257.1
178,636,407305,MATALE,Matale,,,83,BUYANJA COUNTY,4073,BUYANJA,407,KIBAALE,KIBAALE,3714,17845,8890,8955,154.3752857,115.5949278,3481,381,707,5814,2014,5351,1964,3112,602,2788,1079,645,3557,3360,3655,3562,2765,949,346,3368,3298,416,2211,1503,529,3037,148,490,13.19332256,162,2624,438,73757.84651,154392924.3
179,645,407307,NYAMARUNDA,Nyamarunda,,,83,BUYANJA COUNTY,4073,BUYANJA,407,KIBAALE,KIBAALE,5454,24856,12369,12487,185.7168804,133.8381301,3957,1086,1991,8166,2063,7516,3164,4795,659,3819,1142,778,5250,4816,5327,5242,3969,1485,629,4825,4911,543,2624,2830,629,4518,307,758,13.89805647,223,3317,1156,83654.55489,185710709.1
180,650,103101,BUKOMERO,Bukomero,,,84,KIBOGA EAST COUNTY,1031,KIBOGA,103,KIBOGA,KIBOGA,3391,15081,7956,7125,142.5076399,105.8259053,3020,198,1337,4346,2083,4844,1885,2723,668,2372,1201,366,3131,3053,3244,2831,1583,1808,440,2951,2424,967,1782,1609,649,2590,152,334,9.849601887,273,2342,442,110810.9754,142511250.4
181,651,103102,BUKOMERO TOWN COUNCIL,Bukomero Town Council,Town Council,,84,KIBOGA EAST COUNTY,1031,KIBOGA,103,KIBOGA,KIBOGA,3163,14182,7099,7083,37.33395106,379.8687146,2561,93,567,3147,2845,4674,1048,1688,1475,2403,993,407,2907,2962,2996,2781,648,2515,65,3098,1294,1869,1294,1869,683,2421,59,738,23.33227948,620,1333,472,38067.65091,37334290.33
182,652,103103,DDWANIRO,Ddwaniro,,,84,KIBOGA EAST COUNTY,1031,KIBOGA,103,KIBOGA,KIBOGA,2382,12110,6678,5432,465.5672836,26.01127791,2206,146,1439,3129,1703,3695,1807,1800,582,1654,1016,342,2144,2067,2163,1967,1383,999,985,1397,1614,768,1602,780,452,1636,294,274,11.50293871,225,1410,473,92964.15101,465571625.2
