ID,DNAME2016,District_2016,DCODE2014,DNAME2014,District_2014,SUBREGION,REGION,Households_2014,Population_2014,Male_2014,Female_2014,Area_GIS_km2,Population_Density_2014,Average_Household_Size_2014,Attending_School_6_to_12yr_2014,Not_attending_School_6_to_12yr_2014,Never_been_to_School_15plus_2014,Attended_Primary_15plus_2014,Attended_Secondary_and_above_15plus_2014,Literate_18plus_2014,Not_Literate_18plus_2014,HH_Subsistence_Farming_2014,HH_non_Subsistence_Farming_2014,HH_own_Radio_2014,HH_own_Bicycle_2014,HH_own_Motorcycle_2014,HH_own_Moquito_Net_2014,HH_own_two_sets_Clothing_2014,HH_Salt_available_2014,HH_at_least_two_Meals_a_Day_2014,HH_Wall_temporary_2014,HH_Wall_permanent_2014,HH_Roof_temporary_2014,HH_Roof_permanent_2014,HH_Floor_temporary_2014,HH_Floor_permanent_2014,HH_Unprotected_Drinking_Water_2014,HH_Protected_Drinking_Water_2014,HH_Improved_Toilet_2014,HH_Unimproved_Toilet_2014,HH_No_Toilet_2014,HH_Lighting_Electricity_2014,HH_Lighting_Electricity_2014_percent,HH_Lighting_Paraffin_Lantern_2014,HH_Lighting_Paraffin_Tadooba_2014,HH_Lighting_Other_2014
11,BUDAKA,Budaka,217,BUDAKA,Budaka,TESO,EASTERN REGION,37219,207597,100620,106977,410.200328,506.0868698,5.577715683,42370,4882,15009,55100,28546,51419,32207,32869,4350,19682,16552,2154,36406,27911,34580,35652,10865,26354,7944,29275,28910,8309,3960,33259,7694,27430,2095,2179,5.854536661,2489,30076,2475
12,BUDUDA,Bududa,218,BUDUDA,Bududa,ELGON,EASTERN REGION,36883,210173,105820,104353,318.6020332,659.6725008,5.698370523,46544,3436,11687,56797,34282,62571,26421,32625,4258,22646,4111,1099,35857,32677,34583,32139,33841,3042,2566,34317,33840,3043,11103,25780,9539,25286,2058,1554,4.213323211,4280,28049,3000
13,BUGIRI,Bugiri,201,BUGIRI,Bugiri,EAST CENTRAL,EASTERN REGION,74529,382913,185925,196988,1052.784135,363.7146376,5.137771874,81324,8743,32419,97235,49242,91681,60530,60192,14337,40985,33145,4435,61683,62018,69767,69945,37517,37012,27406,47123,51107,23422,16800,57729,15374,51469,7686,6242,8.37526332,5836,56565,5886
14,BUHWEJU,Buhweju,420,BUHWEJU,Buhweju,SOUTH WESTERN,WESTERN REGION,24816,120720,59059,61661,745.6627014,161.8962565,4.864603482,23883,3368,10614,37329,12544,37000,15625,22224,2592,16389,4059,1208,23943,16389,4059,1208,18983,5833,2865,21951,21584,3232,12562,12254,2965,21174,677,1967,7.926337847,2234,17915,2700
15,BUIKWE,Buikwe,117,BUIKWE,Buikwe,CENTRAL 2,CENTRAL REGION,98153,422771,207324,215447,1452.01309,291.1619758,4.307265188,82428,5243,23655,96206,95822,146765,40023,45819,52334,63178,21815,8363,86352,90993,92878,86060,25238,72915,5305,92848,40463,57690,14717,83436,25667,67834,4652,27379,27.89420598,12233,49312,9229
16,BUKEDEA,Bukedea,219,BUKEDEA,Bukedea,TESO,EASTERN REGION,36252,203600,98684,104916,1049.140343,194.0636459,5.616241863,42842,4650,13319,57843,26239,51750,32047,31572,4680,18615,19865,2290,35021,30298,33093,33496,24300,11952,21806,14446,30239,6013,3797,32455,5094,24392,6766,2098,5.787266909,3179,22898,8077
17,BUKOMANSIMBI,Bukomansimbi,118,BUKOMANSIMBI,Bukomansimbi,CENTRAL 1,CENTRAL REGION,34390,151413,75109,76304,599.6999408,252.4812656,4.402820587,33491,1924,8663,44400,21023,49880,13713,27836,6554,25659,14973,5982,31441,31017,32835,28299,6604,27786,940,33450,20173,14217,18893,15497,8458,25244,688,5224,15.19046234,4035,22706,2425
18,BUKWO,Bukwo,220,BUKWO,Bukwo,ELGON,EASTERN REGION,16638,89356,45058,44298,559.3676285,159.744675,5.370597428,19103,1120,3677,23277,15959,26113,10780,13767,2871,6790,1140,774,15713,14765,15526,15776,16018,620,7623,9015,15557,1081,7053,9585,3213,11509,1916,846,5.084745763,2697,11166,1929
19,BULAMBULI,Bulambuli,225,BULAMBULI,Bulambuli,ELGON,EASTERN REGION,34028,174513,86108,88405,694.181522,251.3938998,5.128511814,37077,3049,10102,46984,31505,52735,23118,29110,4918,20575,6835,1424,32528,29952,32345,31626,31680,2348,3878,30150,31780,2248,11143,22885,4401,27238,2389,1863,5.474903021,3443,26716,2006
20,BULIISA,Buliisa,416,BULIISA,Buliisa,WESTERN,WESTERN REGION,21652,113161,57801,55360,2038.425474,55.51392554,5.226353224,18875,3929,13570,30166,10543,25837,21462,14443,7209,11968,8317,1620,20543,17981,19136,19962,19126,2526,13330,8322,18817,2835,6528,15124,4783,12913,3956,1641,7.578976538,2761,13508,3742
